text,source,label
"Отличный продукт! Очень доволен покупкой. Качество на высоте, рекомендую всем!",review,2
"Не понравилось совсем. Плохое качество, деньги на ветер.",review,0
"Нормальный товар, ничего особенного. Соответствует описанию.",review,1
"Превосходно! Лучшая покупка за последнее время. Очень рад!",review,2
"Ужасное качество, не рекомендую никому. Полный разочарование.",review,0
"Хороший продукт за свою цену. Вполне доволен.",review,2
"Средний товар, ничего выдающегося. Можно было и лучше.",review,1
"Отличное качество! Превысил все ожидания. Спасибо!",review,2
"Очень плохо. Не стоит своих денег. Разочарован.",review,0
"Нормально, как и ожидалось. Ничего особенного.",review,1
"Потрясающий продукт! Лучшее что я покупал. Всем советую!",review,2
"Не рекомендую. Качество оставляет желать лучшего.",review,0
"Хороший товар, соответствует описанию. Доволен покупкой.",review,2
"Обычный продукт, ничего особенного. Среднее качество.",review,1
"Отлично! Очень доволен, все как на картинке.",review,2
